Episode 0 with Initial SoC: 0.2
Episode 0, Step 0: State=(0.2, 13, 0), Action=Charge, Reward=[7.198671], Old Q=0.6922381390207877, New Q=[0.8263232]
Episode 0, Step 1: State=(0.31, 14, 0), Action=Charge, Reward=[5.6508284], Old Q=0.32026053248439734, New Q=[0.43911424]
Episode 0, Step 2: State=(0.42, 15, 0), Action=Do Nothing, Reward=-39.18628495684497, Old Q=0.1799379526753585, New Q=[-0.6017005]
Episode 0, Step 3: State=(0.15519132551127998, 16, 1), Action=Charge, Reward=[8.09647], Old Q=0.25416830674683655, New Q=[0.42185953]
Episode 0, Step 4: State=(0.26519132551128, 17, 1), Action=Charge, Reward=[6.1948442], Old Q=0.6717296045209901, New Q=[0.7833719]
Episode 0, Step 5: State=(0.37519132551128, 18, 1), Action=Charge, Reward=[5.008126], Old Q=0.1786066333904791, New Q=[0.27425662]
Episode 0, Step 6: State=(0.48519132551127997, 19, 1), Action=Do Nothing, Reward=10.486268987457127, Old Q=0.27421524647074513, New Q=[0.47944075]
Episode 0, Step 7: State=(0.21166686696887496, 20, 2), Action=Do Nothing, Reward=-100.0, Old Q=0.16862866890518458, New Q=[-1.8212916]
Episode 0, Step 8: State=(0.0, 21, 3), Action=Charge, Reward=[14.167312], Old Q=0.7770341714430684, New Q=[1.0592611]
Episode 0, Step 9: State=(0.11, 22, 3), Action=Charge, Reward=[9.2565975], Old Q=0.8541860041274519, New Q=[1.031621]
Episode 0, Step 10: State=(0.22, 23, 3), Action=Charge, Reward=[6.8583417], Old Q=0.5973159352810768, New Q=[0.73197526]
Episode 0, Step 11: State=(0.33, 0, 3), Action=Do Nothing, Reward=-63.90775137665849, Old Q=0.24354115326928372, New Q=[-1.027045]
Episode 0, Step 12: State=(0.056475541457595, 1, 4), Action=Charge, Reward=[11.139667], Old Q=0.3480021447568109, New Q=[0.5758109]
Episode 0, Step 13: State=(0.166475541457595, 2, 4), Action=Charge, Reward=[7.8502426], Old Q=0.7293977747699201, New Q=[0.87857527]
Episode 0, Step 14: State=(0.276475541457595, 3, 4), Action=Charge, Reward=[6.048403], Old Q=0.4633317897478145, New Q=[0.58410066]
Episode 0, Step 15: State=(0.386475541457595, 4, 4), Action=Charge, Reward=[4.9111414], Old Q=0.5810283747315651, New Q=[0.6670886]
Episode 0, Step 16: State=(0.496475541457595, 5, 4), Action=Do Nothing, Reward=10.788078470524091, Old Q=0.8104425722968037, New Q=[1.0152092]
Episode 0, Step 17: State=(0.213980877682807, 6, 5), Action=Do Nothing, Reward=-100.0, Old Q=0.384419061826735, New Q=[-1.6167575]
Episode 0, Step 18: State=(0.0, 7, 6), Action=Charge, Reward=[14.167312], Old Q=0.7741187117841993, New Q=[1.0502539]
Episode 0, Step 19: State=(0.11, 8, 6), Action=Charge, Reward=[9.2565975], Old Q=0.5404041366549892, New Q=[0.7249165]
Episode 0, Step 20: State=(0.22, 9, 6), Action=Do Nothing, Reward=-100.0, Old Q=0.7286513728363119, New Q=[-1.2733715]
Episode 0, Step 21: State=(0.0, 10, 7), Action=Charge, Reward=[14.167312], Old Q=0.5870583286809482, New Q=[0.85894215]
Episode 0, Step 22: State=(0.11, 11, 7), Action=Charge, Reward=[9.2565975], Old Q=0.13262721597229044, New Q=[0.32158968]
Episode 0, Step 23: State=(0.22, 12, 7), Action=Charge, Reward=[6.8583417], Old Q=0.44917087086072716, New Q=[0.58239603]
Episode 0, Step 24: State=(0.33, 13, 7), Action=Do Nothing, Reward=-87.44126062345589, Old Q=0.5492365497833193, New Q=[-1.200617]
Episode 0, Step 25: State=(0.014362486641890016, 14, 8), Action=Charge, Reward=[13.252817], Old Q=0.3700773870690265, New Q=[0.6368582]
Episode 0, Step 26: State=(0.12436248664189002, 15, 8), Action=Charge, Reward=[8.853896], Old Q=0.5840146599271302, New Q=[0.76619613]
Episode 0, Step 27: State=(0.23436248664189002, 16, 8), Action=Charge, Reward=[6.6328425], Old Q=0.9747219838069764, New Q=[1.104565]
Episode 0, Step 28: State=(0.34436248664189, 17, 8), Action=Charge, Reward=[5.293219], Old Q=0.9694542768884064, New Q=[1.0544935]
Episode 0, Step 29: State=(0.45436248664189, 18, 8), Action=Charge, Reward=[4.397205], Old Q=0.0451376259220837, New Q=[0.13550307]
Episode 0, Step 30: State=(0.56436248664189, 19, 8), Action=Do Nothing, Reward=13.422648337925441, Old Q=0.44911350179332565, New Q=[0.71843576]
Episode 0, Step 31: State=(0.24872497328378004, 20, 9), Action=Do Nothing, Reward=-100.0, Old Q=0.6210365225601007, New Q=[-1.3875442]
Episode 0, Step 32: State=(0.0, 21, 10), Action=Charge, Reward=[14.167312], Old Q=0.3696770830857171, New Q=[0.660941]
Episode 0, Step 33: State=(0.11, 22, 10), Action=Charge, Reward=[9.2565975], Old Q=0.8995866730913837, New Q=[1.0662432]
Episode 0, Step 34: State=(0.22, 23, 10), Action=Do Nothing, Reward=-100.0, Old Q=0.35231739799227213, New Q=[-1.6471024]
Episode 0, Step 35: State=(0.0, 0, 11), Action=Charge, Reward=[14.167312], Old Q=0.5682613969960097, New Q=[0.8432601]
Episode 0, Step 36: State=(0.11, 1, 11), Action=Charge, Reward=[9.2565975], Old Q=0.2723686258946386, New Q=[0.45772588]
